Hi.	Salut!
I hate it when I have to sit between two fat guys on a plane.	Je déteste ça quand je dois m'asseoir entre deux grosses personnes dans un avion.
I might have to come home late. In that case, I'll phone you.	Il se pourrait que je rentre tard chez moi. Dans ce cas, je te téléphonerai.
I think it's time for me to show you how to do that properly.	Je pense qu'il est temps que je vous montre comment faire cela correctement.
I was trying to say something when you so rudely interrupted.	J'essayais de dire quelque chose quand tu m'as si grossièrement interrompu.
I'm sleepy because I stayed up all night studying for a test.	J'ai sommeil car j'ai veillé toute la nuit pour réviser un contrôle.
If I had had enough money, I would have bought that computer.	Si j'avais eu assez d'argent, j'aurais acheté cet ordinateur.
If you behave like a lackey, you'll be treated like a lackey.	Si tu agis comme un serviteur, tu seras aussi traité comme un serviteur.
If you feed your dog properly, you can increase his lifespan.	Si vous nourrissez votre chien correctement, vous pouvez accroître sa durée de vie.
In November, olives are harvested from the trees to make oil.	En novembre, on récolte les olives sur les arbres pour produire de l'huile.
It is generally hard to adapt to living in a foreign culture.	Il est d'ordinaire difficile de s'adapter à la vie dans une culture étrangère.
It would never have occurred to me to say anything like that.	Il ne me serait jamais venu à l'esprit de dire quelque chose de la sorte.
Just by looking at your face, I know that you have good news.	Il me suffit de regarder ton visage pour savoir que tu apportes de bonnes nouvelles.
Many cancer patients lose their hair because of chemotherapy.	De nombreux patients atteints du cancer perdent leurs cheveux à cause de la chimiothérapie.
Most of us are much more interesting than the world suspects.	La plupart d'entre nous sommes plus intéressantes que le monde ne le suspecte.
Of all the films I rented, this is the only one worth seeing.	De tous les films que j'ai loués, c'est le seul qui vaille la peine d'être vu.
Please mail this letter on your next trip to the post office.	Veuille poster cette lettre lors de ton prochain passage au bureau de poste.
She advised him not to spend all his money on his girlfriend.	Elle lui recommanda de ne pas dépenser tout son argent pour sa petite amie.
She tossed me grapes and I tried to catch them with my mouth.	Elle me lançait les raisins et j'essayais de les attraper avec la bouche.
Teachers should never make fun of students who make mistakes.	Les enseignants ne devraient jamais se moquer des élèves qui commettent des fautes.
The crocodile trapped the gnu as it tried to cross the river.	Le crocodile captura le gnou alors qu'il tentait de traverser la rivière.
The higher he rose in social rank, the more modest he became.	Plus il gravissait l'échelle sociale, plus modeste il devenait.
The only time my son talks to me is when he needs some money.	Les seules fois où mon fils me parle sont quand il a besoin d'argent.
The scarecrow in the backyard fell over during the hurricane.	L'épouvantail dans la cour est tombé durant l'ouragan.
There is no sense in your worrying about your health so much.	Autant vous préoccuper de votre santé n'a pas de sens.
They worked each day from the time the sun rose until it set.	Elles travaillèrent tous les jours à partir du moment où le soleil se levait jusqu'à ce qu'il se couche.
Tom expected to leave early in the morning, but he overslept.	Tom pensait partir de bonne heure le matin, mais il a trop dormi.
Tom wants to know which of the books is the most interesting.	Tom veut savoir lequel des livres est le plus intéressant.
We danced to the music for hours until we were all exhausted.	Nous avons dansé au son de la musique pendant des heures jusqu'à ce que nous soyons tous épuisés.
We'll need to amend the contract so that we can pay you more.	Nous devrons réviser le contrat de manière à pouvoir vous payer davantage.
Would you look after my children while I am away on vacation?	Pourriez-vous vous occuper de mes enfants quand je serai parti en vacances ?
You can't just come in here and start ordering people around.	Tu ne peux pas juste venir ici et commencer à donner des ordres aux gens alentour.
You shouldn't always do what everyone else seems to be doing.	On ne doit pas toujours faire ce que tous les autres semblent être en train de faire.
You're supposed to help your friends when they're in trouble.	On est supposé aider ses amis lorsqu'ils sont dans le pétrin.
What's happening in the cave? I'm curious. "I have no idea."	« Qu'est-ce qu'il se passe dans la grotte ? Je me demande vraiment. » « Je n'en ai pas la moindre idée. »
After they argued, they didn't speak to each other for a week.	Après leur dispute, ils ne se parlèrent plus pendant une semaine.
As soon as I can afford it, I plan to travel around the world.	Dès que je peux me le permettre, je prévois de voyager autour du monde.
Besides lending books, libraries offer various other services.	En plus de prêter des livres, les bibliothèques offrent divers services.
Did she ever confide in you about the problems she was having?	S'est-elle jamais confiée à vous au sujet des problèmes qu'elle endurait ?
Don't you think it might be a bit too expensive for us to buy?	Ne penses-tu pas que ça pourrait être un peu trop cher pour que nous l'achetions ?
He did it, and what was more surprising, he did it by himself.	Il l'a fait, et, ce qui est plus surprenant, il l'a fait seul.
He stubbed out his cigar in the ashtray and stood up to leave.	Il écrabouilla son cigare dans le cendrier et se leva pour partir.
How long are you going to keep giving me the silent treatment?	Durant combien de temps vas-tu garder le silence à mon égard ?
I didn't have much time so I just skimmed through the article.	Je n'avais pas beaucoup de temps, j'ai donc juste parcouru l'article.
I got up earlier than usual in order to catch the first train.	Je me suis levé plus tôt que d'habitude afin d'attraper le premier train.
I loved my ex-wife, but I just couldn't live with her anymore.	J'aimais mon ex-femme, mais je ne pouvais simplement plus vivre avec elle.
I sincerely hope that you will soon recover from your illness.	J'espère sincèrement que vous vous remettrez bientôt de votre maladie.
I thought you might like to know who's coming over for dinner.	Je pensais que vous pourriez apprécier de savoir qui vient déjeuner.
I wonder whether Tom will go to Boston or Chicago next summer.	Je me demande si Tom ira à Boston ou à Chicago l'été prochain.
I'm looking forward to meeting you all after such a long time.	J’ai hâte de vous revoir tous après tout ce temps.
If he keeps threatening you, then you should go to the police.	S'il continue à vous menacer, vous devriez aller à la police.
In a democracy, it is important that the press be independent.	En démocratie, il est important que la presse soit indépendante.
It might sound crazy, but I think I'm still in love with Mary.	Ça peut sembler fou, mais je crois que je suis encore amoureux de Marie.
Japan is now very different from what it was twenty years ago.	Le Japon est actuellement très différent de ce qu'il était il y a vingt ans.
Many foreign customs were introduced into Japan after the war.	Beaucoup de coutumes étrangères furent introduites au Japon après la guerre.
My cousin isn't the kind of person who'd ever break a promise.	Ma cousine n'est pas le genre de personne qui romprait jamais une promesse.
No matter how sneaky you are, you can never surprise yourself.	Tout sournois que tu sois, tu ne peux jamais te surprendre toi-même.
Our city police have a new campaign targeting drunken driving.	Notre police municipale conduit une nouvelle campagne ciblant la conduite en état d'ivresse.
